customer_id,snapshot,inferred_interval,interval_confidence,interval_reason,recommendation,reason,detail,auto_decided,churn_probability,expected_dollar_churn,decision_reason,with_recommendation,with_p_churn,with_decision_reason,without_recommendation,without_p_churn,without_decision_reason,recommendations_agree,comparison_narrative,model_version,n_events,median_gap_days
Vb2NWXIGlGIYivyL,2025-03-05,monthly,0.6607,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 26 days, which matches monthly billing (about every month) across 1 observed cycle(s) (about 100% of gaps fit that pattern) Confidence in this label is **66%**.",No-Go,high_churn_risk,"churn_prob 0.80 vs Continue<= 0.45, No-Go>= 0.70.",true,0.8031,8.12,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **80%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.8031,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **80%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.7134,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **71%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +9.0% (with=80%, without=71%).",20260712_032913,2,26.0
8Csph14Ciw7VSkFF,2025-03-05,annual,0.6635,"We inferred **annual billing (about once a year)** because the typical gap between billing days is about 1 days, which matches annual billing (about once a year) across 10 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks somewhat uneven Confidence in this label is **66%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.9861,273.51,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9861,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9697,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **97%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +1.6% (with=99%, without=97%).",20260712_032913,11,1.0
E0iLDTIZ2U7ZaRwM,2025-03-05,annual,0.6592,"We inferred **annual billing (about once a year)** because the typical gap between billing days is about 1 days, which matches annual billing (about once a year) across 10 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks somewhat uneven Confidence in this label is **66%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.99,277.86,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.99,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9856,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +0.4% (with=99%, without=99%).",20260712_032913,11,1.0
MpgL8f7pR6ASUJcn,2025-03-05,irregular,0.3,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **30%**.,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.982,191.94,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.982,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9697,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +1.2% (with=98%, without=97%).",20260712_032913,10,1.0
4iW8amsma1RziGcU,2025-03-05,monthly,0.9594,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 31 days, which matches monthly billing (about every month) across 23 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks very regular Confidence in this label is **96%**.",No-Go,high_churn_risk,"churn_prob 0.83 vs Continue<= 0.45, No-Go>= 0.70.",true,0.8318,409.94,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **83%** (high risk). That sits above the No-Go threshold, and interval confidence (96%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.8318,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **83%** (high risk). That sits above the No-Go threshold, and interval confidence (96%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.819,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **82%** (high risk). That sits above the No-Go threshold, and interval confidence (96%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +1.3% (with=83%, without=82%).",20260712_032913,24,31.0
S3tePS4BsZs1TRwi,2025-03-05,irregular,0.3,We inferred **irregular / no clear calendar billing cycle** because the gaps between invoices (typical gap ≈ 1 days) do not line up cleanly with monthly / quarterly / semi-annual / annual calendars Confidence in this label is **30%**.,Review,low_interval_confidence,interval_confidence 0.30 < 0.50; insufficient billing history to auto-decide (data-quality guardrail).,false,0.982,191.94,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.982,We recommended **Review** (trained WITH inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,Review,0.9697,We recommended **Review** (trained WITHOUT inferred-interval features) because the billing-cycle signal is too uncertain (confidence 30% for “irregular / no clear calendar billing cycle”). Thin or ambiguous history is treated as a data-quality issue — we do not auto Continue or auto No-Go until the cycle is clearer.,true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by +1.2% (with=98%, without=97%).",20260712_032913,10,1.0
mbkMkTSdyQ2osU7S,2025-03-05,monthly,0.6636,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 1 days, which matches monthly billing (about every month) across 10 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks somewhat uneven Confidence in this label is **66%**.",No-Go,high_churn_risk,"churn_prob 0.99 vs Continue<= 0.45, No-Go>= 0.70.",true,0.9912,893.05,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9912,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9927,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **99%** (high risk). That sits above the No-Go threshold, and interval confidence (66%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by -0.1% (with=99%, without=99%).",20260712_032913,11,1.0
5O2xPN2rE3FAnh15,2025-03-05,annual,0.8653,"We inferred **annual billing (about once a year)** because the typical gap between billing days is about 366 days, which matches annual billing (about once a year) across 2 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks very regular Confidence in this label is **87%**.",Review,borderline_churn_risk,"churn_prob 0.50 vs Continue<= 0.45, No-Go>= 0.70.",false,0.4952,299.12,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **50%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",Review,0.4952,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **50%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",Review,0.5812,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **58%** (elevated risk). That sits between the Continue and No-Go bands (or still needs analyst judgment), so the recommendation is **Review**.",true,"Both models agree on **Review**. Adding the inferred interval changed churn probability by -8.6% (with=50%, without=58%).",20260712_032913,3,365.5
mF9pa99wX9itkLwP,2025-03-05,one_time_candidate,0.95,We inferred **looks like a one-time / non-recurring charge pattern** because there is essentially a single invoice followed by a long quiet period with no repeat billing Confidence in this label is **95%**.,No-Go,high_churn_risk,"churn_prob 0.98 vs Continue<= 0.45, No-Go>= 0.70.",true,0.982,1.12,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **98%** (high risk). That sits above the No-Go threshold, and interval confidence (95%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.982,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **98%** (high risk). That sits above the No-Go threshold, and interval confidence (95%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9667,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **97%** (high risk). That sits above the No-Go threshold, and interval confidence (95%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +1.5% (with=98%, without=97%).",20260712_032913,1,
5WMfBPL6Riq9lJeb,2025-03-05,monthly,0.6131,"We inferred **monthly billing (about every month)** because the typical gap between billing days is about 1 days, which matches monthly billing (about every month) across 25 observed cycle(s) (about 100% of gaps fit that pattern) and spacing looks somewhat uneven Confidence in this label is **61%**.",No-Go,high_churn_risk,"churn_prob 1.00 vs Continue<= 0.45, No-Go>= 0.70.",true,1.0,30.02,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **100%** (high risk). That sits above the No-Go threshold, and interval confidence (61%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,1.0,"Using the model **trained WITH inferred-interval features**, predicted chance of dollar churn is **100%** (high risk). That sits above the No-Go threshold, and interval confidence (61%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",No-Go,0.9956,"Using the model **trained WITHOUT inferred-interval features**, predicted chance of dollar churn is **100%** (high risk). That sits above the No-Go threshold, and interval confidence (61%) is high enough to auto-decide, so the recommendation is **No-Go** — decline or escalate for credit risk.",true,"Both models agree on **No-Go**. Adding the inferred interval changed churn probability by +0.4% (with=100%, without=100%).",20260712_032913,26,1.0
